condition_id,condition_name,regimen_id,source_id,regimen_name
1,acquired coagulopathy,338,1,capecitabine and docetaxel (tx)
6,acquired hemophilia a,338,1,capecitabine and docetaxel (tx)
15,acute lymphoblastic leukemia infant,774,1,"cyclophosphamide, etoposide, methotrexate"
36,acute myeloid leukemia,177,1,azacitidine and gemtuzumab ozogamicin
37,acute myeloid leukemia,178,1,azacitidine and ivosidenib
38,acute myeloid leukemia,180,1,azacitidine and sorafenib
39,acute myeloid leukemia,181,1,azacitidine and venetoclax
42,acute myeloid leukemia,185,1,"azacitidine, vorinostat, gemtuzumab ozogamicin"
43,acute myeloid leukemia,289,1,busulfan and cyclophosphamide
44,acute myeloid leukemia,290,1,busulfan and fludarabine
52,acute myeloid leukemia,626,1,clofarabine and lodac/decitabine
53,acute myeloid leukemia,628,1,"clofarabine and melphalan, then allo hsct"
75,acute myeloid leukemia,910,1,decitabine and valproate
76,acute myeloid leukemia,911,1,decitabine and venetoclax
79,acute myeloid leukemia,1069,1,etoposide and mitoxantrone
118,acute myeloid leukemia pediatric,289,1,busulfan and cyclophosphamide
137,acute promyelocytic leukemia,133,1,arsenic trioxide and idarubicin
139,acute promyelocytic leukemia,135,1,"arsenic trioxide, atra, gemtuzumab ozogamicin"
140,acute promyelocytic leukemia,136,1,"arsenic trioxide, atra, idarubicin"
147,acute promyelocytic leukemia,162,1,"atra, mercaptopurine, methotrexate"
148,acute promyelocytic leukemia,291,1,busulfan and melphalan
155,acute promyelocytic leukemia,1326,1,"idarubicin, then mitoxantrone, then idarubicin"
156,acute promyelocytic leukemia,1327,1,"idarubicin, then mitoxantrone, then idarubicin, with atra"
157,acute promyelocytic leukemia,1546,1,mercaptopurine and methotrexate
159,adrenocortical carcinoma,570,1,cisplatin and mitotane
162,adrenocortical carcinoma,1587,1,mitotane and streptozocin
175,allogeneic hsct,289,1,busulfan and cyclophosphamide
176,allogeneic hsct,290,1,busulfan and fludarabine
177,allogeneic hsct,293,1,"busulfan, cyclophosphamide, decitabine, g-csf"
178,allogeneic hsct,294,1,"busulfan, fludarabine, ibritumomab tiuxetan"
179,allogeneic hsct,296,1,"busulfan, fludarabine, thiotepa"
180,allogeneic hsct,543,1,cisplatin and fluorouracil (cf)
181,allogeneic hsct,627,1,clofarabine and melphalan
183,allogeneic hsct,776,1,"cyclophosphamide, fludarabine, thiotepa"
187,allogeneic hsct,1142,1,fludarabine and melphalan
190,allogeneic hsct,1150,1,"fludarabine, busulfan, cyclophosphamide, then allo hsct"
191,allogeneic hsct,1151,1,"fludarabine, cyclophosphamide, tbi for ducb or haploidentical transplant"
194,anal cancer,338,1,capecitabine and docetaxel (tx)
195,anal cancer,361,1,"capecitabine, mitomycin, rt"
196,anal cancer,543,1,cisplatin and fluorouracil (cf)
197,anal cancer,549,1,cisplatin and fluorouracil (cf) and rt
198,anal cancer,1166,1,"fluorouracil, mitomycin, rt"
203,anaplastic glioma,379,1,carboplatin and bevacizumab
207,anaplastic glioma,1392,1,irinotecan and bevacizumab
222,anaplastic large cell lymphoma,1150,1,"fludarabine, busulfan, cyclophosphamide, then allo hsct"
229,angiosarcoma,338,1,capecitabine and docetaxel (tx)
236,aplastic anemia,151,1,"atg (horse), cyclosporine, eltrombopag"
