drug_name,synonyms_json,anchor_drug_id
Abemaciclib,[],83
Abiraterone,[],85
Acalabrutinib,[],88
Acetaminophen,[],105
Acyclovir,[],152
adagrasib,[],153
Afatinib,[],170
Alectinib,[],202
alemtuzumab,[],204
Allopurinol,[],234
alpelisib,[],251
altretamine,[],272
Amifostine,[],312
amivantamab,[],337
Amlodipine,[],339
amoxicillin,[],357
Anastrozole,[],376
Apalutamide,[],411
Arsenic Trioxide,[],452
Asparaginase,[],474
Aspirin,[],481
Atenolol,[],492
Atezolizumab,[],494
Avelumab,[],528
Axitinib,[],540
Azacitidine,[],541
Bendamustine,[],630
Bevacizumab,[],707
bexarotene,[],709
bicalutamide,[],712
binimetinib,[],726
Bleomycin,[],762
blinatumomab,[],763
Bortezomib,[],780
Brentuximab Vedotin,[],794
Busulfan,[],853
Cabozantinib,[],887
Capecitabine,[],972
capivasertib,[],973
Carboplatin,[],1015
Carfilzomib,[],1024
Carmustine,[],1028
Cefepime,[],1065
celecoxib,[],1094
Cemiplimab,[],1097
Ceritinib,[],1111
Cetuximab,[],1128
Chlorambucil,[],1151
Ciprofloxacin,[],1252
Cisplatin,[],1255
cladribine,[],1268
clarithromycin,[],1270
clofarabine,[],1292
Cobimetinib,[],1340
copanlisib,[],1380
Crizotinib,[],1412
Cyclophosphamide,[],1467
cyclosporine,[],1469
Cytarabine,[],1480
Dabrafenib,[],1489
Dacarbazine,[],1490
dactinomycin,[],1494
Daratumumab,[],1514
Darbepoetin Alfa,[],1516
Darolutamide,[],1520
Dasatinib,[],1523
Daunorubicin,[],1527
Decitabine,[],1533
Degarelix,[],1542
Dexamethasone,[],1583
Dexrazoxane,[],1595
dinutuximab,[],1710
Diphenhydramine,[],1720
Docetaxel,[],1746
Docusate,[],1749
dostarlimab,[],1783
Doxorubicin,[],1792
Dronabinol,[],1798
Durvalumab,[],1811
dutasteride,[],1812
Elotuzumab,[],1871
eltrombopag,[],1873
encorafenib,[],1896
enfortumab,[],1898
Enzalutamide,[],1920
Epirubicin,[],1932
Epoetin Alfa,[],1935
eribulin,[],1956
Erlotinib,[],1957
estramustine,[],1982
Etoposide,[],2060
Everolimus,[],2082
Exemestane,[],2087
Famotidine,[],2104
Fentanyl,[],2137
Filgrastim,[],2187
Fluconazole,[],2222
fludarabine,[],2224
Fluorouracil,[],2247
flutamide,[],2261
Fulvestrant,[],2312
Gabapentin,[],2321
Gefitinib,[],2352
Gemcitabine,[],2354
gemtuzumab ozogamicin,[],2358
Gentamicin,[],2360
Goserelin,[],2456
Granisetron,[],2460
hydrocortisone,[],2578
Hydromorphone,[],2593
Hydroxyurea,[],2614
ibritumomab tiuxetan,[],2632
Ibrutinib,[],2633
Ibuprofen,[],2634
Idarubicin,[],2642
Idelalisib,[],2646
Ifosfamide,[],2651
Imatinib,[],2658
interferon alfa-2a,[],2724
interferon gamma-1b,[],2732
Ipilimumab,[],2774
Irinotecan,[],2783
isotretinoin,[],2821
ivosidenib,[],2833
ixabepilone,[],2834
Ixazomib,[],2835
ketoconazole,[],2861
lapatinib,[],2918
lazertinib,[],2939
Lenalidomide,[],2950
Lenvatinib,[],2955
Letrozole,[],2963
Leucovorin,[],2966
Leuprolide,[],2967
Levofloxacin,[],2980
Lisinopril,[],3026
Lomustine,[],3049
Loperamide,[],3055
Lorazepam,[],3060
Lorlatinib,[],3062
margetuximab,[],3159
medroxyprogesterone,[],3192
Megestrol,[],3199
Melphalan,[],3208
Mercaptopurine,[],3240
Meropenem,[],3244
Mesna,[],3248
Metformin,[],3262
Methotrexate,[],3293
Methylprednisolone,[],3326
Metoclopramide,[],3332
metronidazole,[],3340
Mitomycin,[],3386
mitotane,[],3387
mitoxantrone,[],3388
Morphine,[],3425
mycophenolate mofetil,[],3452
necitumumab,[],3511
neratinib,[],3531
Nilotinib,[],3567
nintedanib,[],3573
Niraparib,[],3576
Nivolumab,[],3600
Obinutuzumab,[],3643
ofatumumab,[],3661
Olaparib,[],3667
Omeprazole,[],3691
Ondansetron,[],3696
Osimertinib,[],3721
Oxaliplatin,[],3730
Oxycodone,[],3759
Paclitaxel,[],3781
Palbociclib,[],3788
Palonosetron,[],3801
Panitumumab,[],3810
panobinostat,[],3811
Pantoprazole,[],3814
Pazopanib,[],3846
pegaspargase,[],3857
Pegfilgrastim,[],3859
peginterferon alfa-2a,[],3861
Pembrolizumab,[],3872
Pemetrexed,[],3873
penpulimab,[],3885
pentostatin,[],3901
Pertuzumab,[],3924
plicamycin,[],4064
Polatuzumab Vedotin,[],4070
Pomalidomide,[],4129
Ponatinib,[],4131
pralatrexate,[],4171
Prednisone,[],4192
Pregabalin,[],4194
Procarbazine,[],4215
Prochlorperazine,[],4217
raltitrexed,[],4343
Ramucirumab,[],4347
Ranitidine,[],4349
Rasburicase,[],4354
Regorafenib,[],4372
Ribociclib,[],4410
Rituximab,[],4444
Rucaparib,[],4488
sirolimus,[],4639
Sorafenib,[],4698
sotorasib,[],4705
streptozocin,[],4786
Sunitinib,[],4852
suramin,[],4855
tacrolimus,[],4870
tafasitamab,[],4873
Talazoparib,[],4879
Tamoxifen,[],4890
Temozolomide,[],4934
Temsirolimus,[],4936
teniposide,[],4939
tetracycline,[],4971
Thalidomide,[],4981
Thioguanine,[],5003
thiotepa,[],5013
tislelizumab,[],5078
Topotecan,[],5117
toremifene,[],5118
toripalimab,[],5119
Trametinib,[],5130
Trastuzumab,[],5139
tremelimumab,[],5143
Tretinoin,[],5148
tucatinib,[],5230
ublituximab,[],5252
Valacyclovir,[],5282
valproate,[],5290
Vancomycin,[],5295
vandetanib,[],5296
Vemurafenib,[],5314
Venetoclax,[],5315
Vinblastine,[],5336
Vincristine,[],5339
Vinorelbine,[],5341
vorinostat,[],5369
Zanubrutinib,[],5429
