regimen_id,regimen_name,source_component_count,projected_component_count,projected_components_json,excluded_components_json,added_lexical_components_json,explicit_missing_curated_components_json,benchmark_eligible,reason
1,(90)yfc,4,0,[],"[""Cyclophosphamide"",""fludarabine"",""ibritumomab tiuxetan"",""Rituximab""]",[],[],false,fewer_than_two_direct_lexical_components
2,131iodine-tositumomab monotherapy,0,0,[],[],[],[],false,fewer_than_two_direct_lexical_components
3,5 plus 2d,0,0,[],[],[],[],false,fewer_than_two_direct_lexical_components
4,5 plus 2i,1,0,[],"[""Idarubicin""]",[],[],false,fewer_than_two_direct_lexical_components
5,5 plus 3d,0,0,[],[],[],[],false,fewer_than_two_direct_lexical_components
6,5 plus 3i,1,0,[],"[""Idarubicin""]",[],[],false,fewer_than_two_direct_lexical_components
7,7 plus 3d,3,0,[],"[""Dacarbazine"",""Docetaxel"",""Paclitaxel""]",[],[],false,fewer_than_two_direct_lexical_components
8,7 plus 3d and glasdegib,1,0,[],"[""glasdegib""]",[],[],false,fewer_than_two_direct_lexical_components
9,7 plus 3d and go,1,0,[],"[""gemtuzumab ozogamicin""]",[],[],false,fewer_than_two_direct_lexical_components
10,7 plus 3d and midostaurin,1,0,[],"[""midostaurin""]",[],[],false,fewer_than_two_direct_lexical_components
11,7 plus 3d and quizartinib,1,0,[],"[""Afatinib""]",[],[],false,fewer_than_two_direct_lexical_components
12,7 plus 3d and sorafenib,1,0,[],"[""Sorafenib""]",[],[],false,fewer_than_two_direct_lexical_components
13,7 plus 3i,1,0,[],"[""Idarubicin""]",[],[],false,fewer_than_two_direct_lexical_components
14,7 plus 3i and panobinostat,2,0,[],"[""Idarubicin"",""panobinostat""]",[],[],false,fewer_than_two_direct_lexical_components
15,7 plus 3i and quizartinib,2,0,[],"[""Afatinib"",""Idarubicin""]",[],[],false,fewer_than_two_direct_lexical_components
16,7 plus 3i and sorafenib,2,0,[],"[""Idarubicin"",""Sorafenib""]",[],[],false,fewer_than_two_direct_lexical_components
17,7 plus 3i and vorinostat,2,0,[],"[""Idarubicin"",""vorinostat""]",[],[],false,fewer_than_two_direct_lexical_components
18,7 plus 3m,1,0,[],"[""mitoxantrone""]",[],[],false,fewer_than_two_direct_lexical_components
19,7 plus 5i,1,0,[],"[""Idarubicin""]",[],[],false,fewer_than_two_direct_lexical_components
20,7+3,2,0,[],"[""Idarubicin"",""mitoxantrone""]",[],[],false,fewer_than_two_direct_lexical_components
21,a-avd,2,0,[],"[""Brentuximab Vedotin"",""Dacarbazine""]",[],[],false,fewer_than_two_direct_lexical_components
22,a-chop,3,0,[],"[""alemtuzumab"",""Cyclophosphamide"",""Vincristine""]",[],[],false,fewer_than_two_direct_lexical_components
23,a-cmf,3,0,[],"[""Cyclophosphamide"",""Fluorouracil"",""Methotrexate""]",[],[],false,fewer_than_two_direct_lexical_components
24,aall0232 consolidation,4,0,[],"[""Cyclophosphamide"",""Mercaptopurine"",""pegaspargase"",""Vincristine""]",[],[],false,fewer_than_two_direct_lexical_components
25,aall0932 delayed intensification,4,0,[],"[""Cyclophosphamide"",""pegaspargase"",""Thioguanine"",""Vincristine""]",[],[],false,fewer_than_two_direct_lexical_components
26,abarelix monotherapy,1,0,[],"[""abarelix""]",[],[],false,fewer_than_two_direct_lexical_components
27,abc,3,0,[],"[""Bevacizumab"",""Carboplatin"",""Paclitaxel""]",[],[],false,fewer_than_two_direct_lexical_components
28,abcd,3,0,[],"[""Bleomycin"",""Dacarbazine"",""Lomustine""]",[],[],false,fewer_than_two_direct_lexical_components
29,abcm,5,0,[],"[""Bleomycin"",""Carmustine"",""Cyclophosphamide"",""Melphalan"",""Mitomycin""]",[],[],false,fewer_than_two_direct_lexical_components
30,abcp,4,0,[],"[""Atezolizumab"",""Bevacizumab"",""Carboplatin"",""Paclitaxel""]",[],[],false,fewer_than_two_direct_lexical_components
31,abd,2,0,[],"[""Bleomycin"",""Dacarbazine""]",[],[],false,fewer_than_two_direct_lexical_components
32,abdic,3,0,[],"[""Bleomycin"",""Dacarbazine"",""Lomustine""]",[],[],false,fewer_than_two_direct_lexical_components
33,abemaciclib and anastrozole,2,2,"[""Abemaciclib"",""Anastrozole""]",[],[],[],true,at_least_two_direct_components_lexically_grounded_in_regimen_name
34,abemaciclib and et,1,0,[],"[""Abemaciclib""]",[],[],false,fewer_than_two_direct_lexical_components
35,abemaciclib and fulvestrant,2,2,"[""Abemaciclib"",""Fulvestrant""]",[],[],[],true,at_least_two_direct_components_lexically_grounded_in_regimen_name
36,abemaciclib and letrozole,2,2,"[""Abemaciclib"",""Letrozole""]",[],[],[],true,at_least_two_direct_components_lexically_grounded_in_regimen_name
37,abemaciclib monotherapy,1,0,[],"[""Abemaciclib""]",[],[],false,fewer_than_two_direct_lexical_components
38,abiraterone and apalutamide,2,2,"[""Abiraterone"",""Apalutamide""]",[],[],[],true,at_least_two_direct_components_lexically_grounded_in_regimen_name
39,abiraterone and niraparib,1,0,[],"[""abiraterone / niraparib""]",[],"[""Abiraterone"",""Niraparib""]",false,explicit_curated_component_missing_from_uotd_links
40,abiraterone and olaparib,2,2,"[""Abiraterone"",""Olaparib""]",[],[],[],true,at_least_two_direct_components_lexically_grounded_in_regimen_name
41,abiraterone monotherapy,1,0,[],"[""Abiraterone""]",[],[],false,fewer_than_two_direct_lexical_components
42,abp,1,0,[],"[""Bleomycin""]",[],[],false,fewer_than_two_direct_lexical_components
43,abv (vinblastine),2,0,[],"[""Bleomycin"",""Vincristine""]",[],"[""Vinblastine""]",false,explicit_curated_component_missing_from_uotd_links
44,abvd,2,0,[],"[""Bleomycin"",""Dacarbazine""]",[],[],false,fewer_than_two_direct_lexical_components
45,"abvd, dd-di",2,0,[],"[""Bleomycin"",""Dacarbazine""]",[],[],false,fewer_than_two_direct_lexical_components
46,abvdm,2,0,[],"[""Bleomycin"",""Dacarbazine""]",[],[],false,fewer_than_two_direct_lexical_components
47,abve,3,0,[],"[""Bleomycin"",""Etoposide"",""Vincristine""]",[],[],false,fewer_than_two_direct_lexical_components
48,abve-pc,4,0,[],"[""Bleomycin"",""Cyclophosphamide"",""Etoposide"",""Vincristine""]",[],[],false,fewer_than_two_direct_lexical_components
49,ac-cmf,3,0,[],"[""Cyclophosphamide"",""Fluorouracil"",""Methotrexate""]",[],[],false,fewer_than_two_direct_lexical_components
50,ac-d,2,0,[],"[""Cyclophosphamide"",""Docetaxel""]",[],[],false,fewer_than_two_direct_lexical_components
51,ac-h,2,0,[],"[""Cyclophosphamide"",""Trastuzumab""]",[],[],false,fewer_than_two_direct_lexical_components
52,ac-t,2,0,[],"[""Cyclophosphamide"",""Paclitaxel""]",[],[],false,fewer_than_two_direct_lexical_components
53,ac-th (docetaxel),6,0,[],"[""Carboplatin"",""Cyclophosphamide"",""Docetaxel"",""Paclitaxel"",""tislelizumab"",""Trastuzumab""]",[],[],false,fewer_than_two_direct_lexical_components
54,ac-thl (paclitaxel),4,0,[],"[""Cyclophosphamide"",""lapatinib"",""Paclitaxel"",""Trastuzumab""]",[],[],false,fewer_than_two_direct_lexical_components
55,ac-thp (docetaxel),5,0,[],"[""Cyclophosphamide"",""Docetaxel"",""Paclitaxel"",""Pertuzumab"",""Trastuzumab""]",[],[],false,fewer_than_two_direct_lexical_components
56,"ac-thp (docetaxel, phesgo)",3,0,[],"[""Cyclophosphamide"",""Docetaxel"",""hyaluronidase / pertuzumab / trastuzumab""]",[],[],false,fewer_than_two_direct_lexical_components
57,ac-tl (paclitaxel),3,0,[],"[""Cyclophosphamide"",""lapatinib"",""Paclitaxel""]",[],[],false,fewer_than_two_direct_lexical_components
58,acalabrutinib and obinutuzumab,2,2,"[""Acalabrutinib"",""Obinutuzumab""]",[],[],[],true,at_least_two_direct_components_lexically_grounded_in_regimen_name
59,acalabrutinib monotherapy,1,0,[],"[""Acalabrutinib""]",[],[],false,fewer_than_two_direct_lexical_components
60,accelerated bep,3,0,[],"[""Bleomycin"",""Cisplatin"",""Etoposide""]",[],[],false,fewer_than_two_direct_lexical_components
61,acep,2,0,[],"[""Cyclophosphamide"",""Etoposide""]",[],[],false,fewer_than_two_direct_lexical_components
62,ach,2,0,[],"[""Cyclophosphamide"",""Trastuzumab""]",[],[],false,fewer_than_two_direct_lexical_components
63,acoap,2,0,[],"[""Cyclophosphamide"",""Vincristine""]",[],[],false,fewer_than_two_direct_lexical_components
64,acomla,3,0,[],"[""Cyclophosphamide"",""Methotrexate"",""Vincristine""]",[],[],false,fewer_than_two_direct_lexical_components
65,acopp,3,0,[],"[""Cyclophosphamide"",""Procarbazine"",""Vincristine""]",[],[],false,fewer_than_two_direct_lexical_components
66,act,3,0,[],"[""Cyclophosphamide"",""Docetaxel"",""Tamoxifen""]",[],[],false,fewer_than_two_direct_lexical_components
67,act-fu-cy,3,0,[],"[""Cyclophosphamide"",""dactinomycin"",""Fluorouracil""]",[],[],false,fewer_than_two_direct_lexical_components
68,acvbp,5,0,[],"[""Bleomycin"",""Cyclophosphamide"",""Etoposide"",""Ifosfamide"",""Methotrexate""]",[],[],false,fewer_than_two_direct_lexical_components
69,adagrasib and cetuximab,2,2,"[""adagrasib"",""Cetuximab""]",[],[],[],true,at_least_two_direct_components_lexically_grounded_in_regimen_name
70,adagrasib monotherapy,1,0,[],"[""adagrasib""]",[],[],false,fewer_than_two_direct_lexical_components
71,ade (high-dose ara-c),1,0,[],"[""Etoposide""]",[],[],false,fewer_than_two_direct_lexical_components
72,ade and atra,2,0,[],"[""Etoposide"",""Tretinoin""]",[],[],false,fewer_than_two_direct_lexical_components
73,ade and go,2,0,[],"[""Etoposide"",""gemtuzumab ozogamicin""]",[],[],false,fewer_than_two_direct_lexical_components
74,adm,2,0,[],"[""Cisplatin"",""Methotrexate""]",[],[],false,fewer_than_two_direct_lexical_components
75,adoc,3,0,[],"[""Cisplatin"",""Cyclophosphamide"",""Vincristine""]",[],[],false,fewer_than_two_direct_lexical_components
76,adria-l-pam,1,0,[],"[""Melphalan""]",[],[],false,fewer_than_two_direct_lexical_components
77,adt,1,0,[],"[""bicalutamide""]",[],[],false,fewer_than_two_direct_lexical_components
78,adt and abiraterone,1,0,[],"[""Abiraterone""]",[],[],false,fewer_than_two_direct_lexical_components
79,adt and apalutamide,1,0,[],"[""Apalutamide""]",[],[],false,fewer_than_two_direct_lexical_components
