regimen_name,components_json,regimen_id,projection_method,canonical_regimen_name
abemaciclib and anastrozole,"[""Abemaciclib"",""Anastrozole""]",33,lexical_name_projection,abemaciclib and anastrozole
abemaciclib and fulvestrant,"[""Abemaciclib"",""Fulvestrant""]",35,lexical_name_projection,abemaciclib and fulvestrant
abemaciclib and letrozole,"[""Abemaciclib"",""Letrozole""]",36,lexical_name_projection,abemaciclib and letrozole
abiraterone and apalutamide,"[""Abiraterone"",""Apalutamide""]",38,lexical_name_projection,abiraterone and apalutamide
abiraterone and olaparib,"[""Abiraterone"",""Olaparib""]",40,lexical_name_projection,abiraterone and olaparib
acalabrutinib and obinutuzumab,"[""Acalabrutinib"",""Obinutuzumab""]",58,lexical_name_projection,acalabrutinib and obinutuzumab
adagrasib and cetuximab,"[""adagrasib"",""Cetuximab""]",69,lexical_name_projection,adagrasib and cetuximab
"adt, darolutamide, docetaxel","[""Darolutamide"",""Docetaxel""]",87,lexical_name_projection,"adt, darolutamide, docetaxel"
"adt, enzalutamide, talazoparib","[""Enzalutamide"",""Talazoparib""]",88,lexical_name_projection,"adt, enzalutamide, talazoparib"
afatinib and bevacizumab,"[""Afatinib"",""Bevacizumab""]",89,lexical_name_projection,afatinib and bevacizumab
afatinib and cetuximab,"[""Afatinib"",""Cetuximab""]",90,lexical_name_projection,afatinib and cetuximab
afatinib and paclitaxel,"[""Afatinib"",""Paclitaxel""]",91,lexical_name_projection,afatinib and paclitaxel
alemtuzumab and rituximab,"[""alemtuzumab"",""Rituximab""]",96,lexical_name_projection,alemtuzumab and rituximab
alpelisib and fulvestrant,"[""alpelisib"",""Fulvestrant""]",100,lexical_name_projection,alpelisib and fulvestrant
altretamine and cisplatin (hd),"[""altretamine"",""Cisplatin""]",101,lexical_name_projection,altretamine and cisplatin (hd)
"amoxicillin, clarithromycin, ppi, bismuth","[""amoxicillin"",""clarithromycin""]",106,lexical_name_projection,"amoxicillin, clarithromycin, ppi, bismuth"
anastrozole and fulvestrant,"[""Anastrozole"",""Fulvestrant""]",111,lexical_name_projection,anastrozole and fulvestrant
anastrozole and goserelin,"[""Anastrozole"",""Goserelin""]",112,lexical_name_projection,anastrozole and goserelin
anastrozole and palbociclib,"[""Anastrozole"",""Palbociclib""]",113,lexical_name_projection,anastrozole and palbociclib
anastrozole and ribociclib,"[""Anastrozole"",""Ribociclib""]",114,lexical_name_projection,anastrozole and ribociclib
anastrozole and trastuzumab,"[""Anastrozole"",""Trastuzumab""]",115,lexical_name_projection,anastrozole and trastuzumab
"anastrozole, goserelin, palbociclib","[""Anastrozole"",""Goserelin"",""Palbociclib""]",117,lexical_name_projection,"anastrozole, goserelin, palbociclib"
"anastrozole, lapatinib, trastuzumab","[""Anastrozole"",""lapatinib"",""Trastuzumab""]",118,lexical_name_projection,"anastrozole, lapatinib, trastuzumab"
